iter	Passed	Remaining
0	1	142
1	4	200
2	5	165
3	6	144
4	7	138
5	8	130
6	9	122
7	10	115
8	12	122
9	13	121
10	14	116
11	15	112
12	16	108
13	16	104
14	18	103
15	19	100
16	21	103
17	22	103
18	23	100
19	24	97
20	25	94
21	26	92
22	26	90
23	27	88
24	28	86
25	30	85
26	30	83
27	31	81
28	32	79
29	33	78
30	34	76
31	35	74
32	36	74
33	38	74
34	39	73
35	40	71
36	41	70
37	42	68
38	42	67
39	43	65
40	44	64
41	45	62
42	47	62
43	48	61
44	48	59
45	49	58
46	51	57
47	52	56
48	52	55
49	53	53
50	55	53
51	56	52
52	57	51
53	58	49
54	59	48
55	60	47
56	60	45
57	61	44
58	62	43
59	63	42
60	66	42
61	67	41
62	68	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	28
73	79	27
74	80	26
75	81	25
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	88	18
83	89	17
84	91	16
85	92	15
86	94	14
87	95	13
88	97	11
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
